nbh,bars,children_places,cinemas_theatres,schools,pre-schools,hospitals,libraries_theatres,park_gardens,sport_centers,population,net_density(hab/ha),avg_occupation,dist,num_immi,mort_rate,rent_price,num_crimes,children_places_pop,cinemas_theatres_pop,schools_pop,pre-schools_pop,hospitals_pop,libraries_theatres_pop,park_gardens_pop,sport_centers_pop,facilities_pop
Horta,4.0,9.0,3.0,11.0,7.0,3.0,5.0,3.0,2.0,26715.0,422.0,2.5,Horta-Guinardó,1127.0,805.5,2.97,7871.0,0.3368893879842785,0.11229646266142616,0.4117536964252293,0.2620250795433277,0.11229646266142616,0.18716077110237692,0.11229646266142616,0.07486430844095078,0.16844469399213927
Navas,2.0,3.0,,6.0,3.0,,,,,22129.0,984.0,2.5,Sant Andreu,988.0,696.0,3.029,10657.0,0.13556871074156085,,0.2711374214831217,0.13556871074156085,,,,,
Pedralbes,1.0,7.0,,8.0,41.0,,10.0,9.0,1.0,12076.0,147.0,2.9,Les Corts,764.0,661.6,6.34,7444.0,0.5796621397813846,,0.6624710168930109,3.395163961576681,,0.8280887711162637,0.7452798940046373,0.08280887711162636,
Sant Andreu,3.0,22.0,5.0,22.0,17.0,5.0,2.0,5.0,3.0,57183.0,746.0,2.4,Sant Andreu,1965.0,763.0,3.21,10657.0,0.384729727366525,0.08743857440148296,0.384729727366525,0.29729115296504205,0.08743857440148296,0.03497542976059318,0.08743857440148296,0.052463144640889775,0.13990171904237275
Sant Antoni,9.0,8.0,4.0,11.0,11.0,1.0,5.0,7.0,1.0,38345.0,928.0,2.3,Eixample,2490.0,737.3,4.591,46210.0,0.2086321554309558,0.1043160777154779,0.28686921371756424,0.28686921371756424,0.02607901942886948,0.13039509714434735,0.1825531360020863,0.02607901942886948,0.12061546485852133
Sant Gervasi - Galvany,25.0,7.0,7.0,16.0,17.0,8.0,9.0,9.0,,47666.0,499.0,2.6,Sarrià-Sant Gervasi,2434.0,716.1,5.306,9252.0,0.14685520077203876,0.14685520077203876,0.3356690303360886,0.35664834473209417,0.1678345151680443,0.18881382956404985,0.18881382956404985,,
Sant Gervasi - la Bonanova,3.0,7.0,2.0,19.0,29.0,5.0,4.0,7.0,1.0,25774.0,314.0,2.8,Sarrià-Sant Gervasi,1181.0,775.5,5.029,9252.0,0.27159152634437805,0.07759757895553658,0.7371770000775976,1.1251648948552804,0.1939939473888415,0.15519515791107316,0.27159152634437805,0.03879878947776829,0.21824319081244664
"Sant Pere, Santa Caterina i la Ribera",33.0,5.0,11.0,9.0,16.0,1.0,22.0,2.0,1.0,22721.0,700.0,2.3,Ciutat Vella,2765.0,911.4,5.152,44241.0,0.22006073676334667,0.4841336208793627,0.3961093261740241,0.7041943576427094,0.04401214735266934,0.9682672417587256,0.08802429470533868,0.04401214735266934,0.2805774393732671
Sants,10.0,7.0,4.0,19.0,16.0,4.0,4.0,6.0,1.0,41127.0,740.0,2.4,Sants-Montjuïc,2839.0,782.1,3.6660000000000004,20219.0,0.17020448853551196,0.09725970773457826,0.4619836117392467,0.38903883093831293,0.09725970773457826,0.09725970773457826,0.1458895616018674,0.02431492693364456,0.13677146400175064
Sarrià,2.0,13.0,1.0,22.0,25.0,6.0,5.0,11.0,3.0,25032.0,260.0,2.8,Sarrià-Sant Gervasi,1208.0,758.7,6.042000000000001,9252.0,0.5193352508788751,0.03994886545222116,0.8788750399488655,0.9987216363055288,0.2396931927133269,0.1997443272611058,0.4394375199744328,0.11984659635666345,0.3046100990731864
el Barri Gòtic,29.0,3.0,5.0,5.0,10.0,1.0,23.0,2.0,2.0,16062.0,471.0,2.5,Ciutat Vella,2687.0,1004.5,4.8839999999999995,44241.0,0.1867762420620097,0.3112937367700161,0.3112937367700161,0.6225874735400323,0.06225874735400324,1.4319511891420744,0.12451749470800648,0.12451749470800648,0.3190760801892666
el Camp d'en Grassot i Gràcia Nova,1.0,4.0,1.0,10.0,9.0,2.0,1.0,3.0,4.0,34329.0,891.0,2.3,Gràcia,1791.0,821.6,4.391,7731.0,0.11651956072125608,0.02912989018031402,0.2912989018031402,0.2621690116228261,0.05825978036062804,0.02912989018031402,0.08738967054094207,0.11651956072125608,0.0910309068134813
el Congrés i els Indians,1.0,8.0,1.0,11.0,5.0,,1.0,2.0,,14116.0,737.0,2.4,Sant Andreu,603.0,748.5,2.83,10657.0,0.5667327854916407,0.0708415981864551,0.7792575800510059,0.3542079909322754,,0.0708415981864551,0.1416831963729102,,
